old_url_slug,new_url_slug,published,title,path
20260308-02,blog-url-slug-refactor,2026-03-08,把文章 URL 从目录里拆出来,src/content/posts/2026-03-08-把文章 URL 从目录里拆出来/index.md
20260308-01,blog-first-night,2026-03-08,折腾这个博客的第一夜,src/content/posts/2026-03-08-折腾这个博客的第一夜/index.md
20260309-02,zprofile-zshrc-split-optimization,2026-03-09,把 .zprofile 和 .zshrc 拆开之后，我具体做了哪些优化,src/content/posts/2026-03-09-把 .zprofile 和 .zshrc 拆开之后，我具体做了哪些优化/index.md
20260309-01,zsh-config-cleanup,2026-03-09,把 Zsh 配置从能用整理到顺手,src/content/posts/2026-03-09-把 Zsh 配置从能用整理到顺手/index.md
20260312-01,cachyos-neovide-lazyvim,2026-03-12,"""在 CachyOS 上从 Neovide 起步，到切到 LazyVim""",src/content/posts/2026-03-12-在 CachyOS 上从 Neovide 起步，到切到 LazyVim/index.md
20260313-02,opencode-skill-superpowers,2026-03-13,"""初次折腾 OpenCode Skill，为什么我先选了 Superpowers""",src/content/posts/2026-03-13-初次折腾 OpenCode Skill，为什么我先选了 Superpowers/index.md
20260313-01,php-docker-study-template,2026-03-13,"""给新手准备的 PHP Docker 学习模板：我的 study-php 仓库是怎么用的""",src/content/posts/2026-03-13-给新手准备的 PHP Docker 学习模板：我的 study-php 仓库是怎么用的/index.md
20260316-02,cachyos-opencode-playwright-cli-skill,2026-03-16,"""在 CachyOS 上给 OpenCode 接 Playwright CLI：为什么我又手动搬了一次 skill""",src/content/posts/2026-03-16-在 CachyOS 上给 OpenCode 接 Playwright CLI：为什么我又手动搬了一次 skill/index.md
20260316-01,opencode-playwright-mcp-lite-debug,2026-03-16,"""给 OpenCode 接上 Playwright MCP 之后，我为什么又拆成了轻量版和调试版""",src/content/posts/2026-03-16-给 OpenCode 接上 Playwright MCP 之后，我为什么又拆成了轻量版和调试版/index.md
20260318-01,kubernetes-local-cluster-endeavouros,2026-03-18,"""Kubernetes 第一课：在 EndeavourOS 上搭建本地集群并完成第一次部署排障""",src/content/posts/2026-03-18-从 Docker 到 Kubernetes：我在 Arch Linux 上搭起第一个 K8s 集群/index.md
20260320-02,linux-mint-python-package-management-repair,2026-03-20,"""Linux Mint 22 上 Python3 包管理崩掉之后，我是怎么一步步救回来的""",src/content/posts/2026-03-20-Linux Mint 22 上 Python3 包管理崩掉之后，我是怎么一步步救回来的/index.md
